Time [s],Channel 0,Channel 1
27.516786260,1,0
27.516881220,0,0
27.566782640,0,1
27.566880980,1,1
27.616785240,1,0
27.616880620,0,0
27.666787940,0,1
27.666879900,1,1
27.716785020,1,0
27.716879420,0,0
27.766545400,0,1
27.766879500,1,1
27.816548460,1,0
27.816878720,0,0
27.866544580,0,1
27.866878620,1,1
27.916547120,1,0
27.916878360,0,0
27.966549980,0,1
27.966877400,1,1
28.016546260,1,0
28.016877000,0,0
28.066548640,0,1
28.066876520,1,1
28.116551660,1,0
28.116875920,0,0
28.166548200,0,1
28.166875480,1,1
28.216550400,1,0
28.216875080,0,0
28.266552360,0,1
28.266874820,1,1
28.316554480,1,0
28.316874420,0,0
28.366550560,0,1
28.366873780,1,1
28.416553160,1,0
28.416873660,0,0
28.466555740,0,1
28.466873620,1,1
28.516552020,1,0
28.516872880,0,0
28.566554020,0,1
28.566872320,1,1
28.616556520,1,0
28.616871720,0,0
28.666553080,0,1
28.666871220,1,1
28.716555620,1,0
28.716870700,0,0
28.766557920,0,1
28.766870280,1,1
28.816555020,1,0
28.816869840,0,0
28.866557100,0,1
28.866869580,1,1
28.916559600,1,0
28.916869400,0,0
28.966556560,0,1
28.966868580,1,1
29.016559140,1,0
29.016868260,0,0
29.066561440,0,1
29.066868040,1,1
29.116558540,1,0
29.116867520,0,0
29.166560900,0,1
29.166866840,1,1
29.216563900,1,0
29.216866400,0,0
29.266560020,0,1
29.266865960,1,1
29.316562560,1,0
29.316865920,0,0
29.366565400,0,1
29.366865080,1,1
29.416561680,1,0
29.416864800,0,0
29.466562760,0,1
29.466864760,1,1
29.516564540,1,0
29.516863780,0,0
29.566566920,0,1
29.566863340,1,1
29.616564020,1,0
29.616863060,0,0
29.666566380,0,1
29.666862540,1,1
29.716569380,1,0
29.716862240,0,0
29.766565500,0,1
29.766862060,1,1
29.816568040,1,0
29.816861420,0,0
29.866570880,0,1
29.866861000,1,1
29.916567140,1,0
29.916860740,0,0
29.966569520,0,1
29.966859900,1,1
30.016572540,1,0
30.016859600,0,0
30.066569060,0,1
30.066859160,1,1
30.116571240,1,0
30.116858680,0,0
30.166573200,0,1
30.166858400,1,1
30.216575320,1,0
30.216857980,0,0
30.266571400,0,1
30.266857300,1,1
30.316574000,1,0
30.316857040,0,0
30.366576500,0,1
30.366856720,1,1
30.416573180,1,0
30.416856060,0,0
30.466574000,0,1
30.466856220,1,1
30.516576880,1,0
30.516855560,0,0
30.566579200,0,1
30.566854680,1,1
30.616575520,1,0
30.616854200,0,0
30.666577120,0,1
30.666853960,1,1
30.716579220,1,0
30.716853340,0,0
30.766576140,0,1
30.766852900,1,1
30.816578320,1,0
30.816852780,0,0
30.866580620,0,1
30.866852100,1,1
30.916577780,1,0
30.916852080,0,0
30.966580140,0,1
30.966851520,1,1
31.016582280,1,0
31.016850780,0,0
31.066584660,0,1
31.066850380,1,1
31.116580980,1,0
31.116850020,0,0
31.166582580,0,1
31.166849480,1,1
31.216584700,1,0
31.216849000,0,0
31.266581600,0,1
31.266848820,1,1
31.316583780,1,0
31.316848540,0,0
31.366586080,0,1
31.366847720,1,1
31.416583240,1,0
31.416847300,0,0
31.466586040,0,1
31.466847740,1,1
31.516589060,1,0
31.516846440,0,0
31.566585160,0,1
31.566846140,1,1
31.616587700,1,0
31.616846060,0,0
31.666590540,0,1
31.666845160,1,1
31.716586820,1,0
31.716844700,0,0
31.766589180,0,1
31.766844220,1,1
31.816592180,1,0
31.816843840,0,0
31.866588720,0,1
31.866843800,1,1
31.916590900,1,0
31.916843040,0,0
31.966592860,0,1
31.966842780,1,1
32.016594980,1,0
32.016842140,0,0
32.066591060,0,1
32.066841720,1,1
32.116593640,1,0
32.116841240,0,0
32.166596140,0,1
32.166840920,1,1
32.216592820,1,0
32.216840340,0,0
32.266595160,0,1
32.266839960,1,1
32.316598220,1,0
32.316839680,0,0
32.366594660,0,1
32.366839060,1,1
32.416597620,1,0
32.416838680,0,0
32.466599420,0,1
32.466838600,1,1
32.516596080,1,0
32.516838620,0,0
32.566598440,0,1
32.566837580,1,1
32.616601480,1,0
32.616836900,0,0
32.666597920,0,1
32.666836520,1,1
32.716600880,1,0
32.716836040,0,0
32.766603180,0,1
32.766835640,1,1
32.816599500,1,0
32.816835180,0,0
32.866601100,0,1
32.866834780,1,1
32.916603200,1,0
32.916834400,0,0
32.966600120,0,1
32.966833860,1,1
33.016602300,1,0
33.016833780,0,0
33.066604600,0,1
33.066833000,1,1
33.116601760,1,0
33.116832540,0,0
33.166604120,0,1
33.166832560,1,1
33.216606240,1,0
33.216831720,0,0
33.266608620,0,1
33.266831320,1,1
33.316604940,1,0
33.316830860,0,0
33.366606540,0,1
33.366830360,1,1
33.416608640,1,0
33.416830440,0,0
33.466606000,0,1
33.466830160,1,1
33.516608540,1,0
33.516829460,0,0
33.566611340,0,1
33.566828800,1,1
33.616608040,1,0
33.616828440,0,0
33.666610380,0,1
33.666827860,1,1
33.716613440,1,0
33.716827380,0,0
33.766412920,0,1
33.766827420,1,1
33.816415480,1,0
33.816826840,0,0
33.866412300,0,1
33.866826460,1,1
33.916414420,1,0
33.916825980,0,0
33.966416420,0,1
33.966825380,1,1
34.016413080,1,0
34.016825280,0,0
34.066415520,0,1
34.066824620,1,1
34.116418140,1,0
34.116824060,0,0
34.166414600,0,1
34.166823460,1,1
34.216417240,1,0
34.216823880,0,0
34.266419320,0,1
34.266822800,1,1
34.316415940,1,0
34.316822200,0,0
34.366418240,0,1
34.366821700,1,1
34.416421240,1,0
34.416821300,0,0
34.466422620,0,1
34.466821020,1,1
34.516419560,1,0
34.516820460,0,0
34.566422420,0,1
34.566820040,1,1
34.616418680,1,0
34.616819620,0,0
34.666420980,0,1
34.666819420,1,1
34.716424060,1,0
34.716818780,0,0
34.766420500,0,1
34.766818480,1,1
34.816422620,1,0
